URN,RELDENOM,ADMPOL_PT,EGENDER,TOTPUPS,TOTAL EXP,EXPPUP,PSEN_ALL,PTFSM6CLA1A,PTEBACENG_E_PTQ_EE,PTEBACMAT_E_PTQ_EE,PTEBAC2SCI_E_PTQ_EE,PTEBACHUM_E_PTQ_EE,PTEBACLAN_E_PTQ_EE,PTEALGRP2,KS2APS,ATT8SCR_17,P8MEA_17,P8MEA,ATT8SCR
100049,1,2,3,950,9569373,10073.02421,0.12,0.59,0.94,0.98,0.92,0.7,0.32,0.71,27.6,38.4,-0.65,-0.11,42.4
100050,1,2,2,1170,8525007,7286.330769,0.1,0.54,0.98,0.99,0.98,0.89,0.63,0.42,29.7,55.2,0.42,0.77,58.7
100054,1,2,2,1025,7152177,6977.733659,0.24,0.36,0.99,1,0.99,0.65,0.87,0.55,30.8,63.5,0.65,0.73,63.4
100056,1,2,1,836,6431289,7692.929426,0.08,0.52,0.99,0.98,0.99,0.98,0.87,0.59,29.7,47.6,-0.25,-0.44,46.3
100051,1,2,3,1003,8306574,8281.728814,0.12,0.73,0.99,1,1,0.9,0.61,0.74,28,39.4,-0.16,-0.19,42.2
100052,1,2,3,1308,10021522,7661.714067,0.11,0.64,0.99,0.99,0.93,0.95,0.6,0.66,28.5,45.1,-0.08,-0.05,44.8
100053,1,2,3,1008,8236522,8171.152778,0.24,0.53,0.99,0.99,1,0.96,0.51,0.34,29,51.2,0.23,-0.08,47.5
100055,3,2,3,711,5903714,8303.395218,0.14,0.5,0.99,0.99,0.97,0.92,0.83,0.56,28.7,45.8,0.24,0.09,48.4
100059,3,2,2,1073,7501443,6991.093197,0.14,0.42,0.99,0.99,0.99,0.58,0.97,0.53,29.4,54.1,0.46,0.52,54.6
100190,1,2,3,1905,14764569,7750.429921,0.07,0.39,0.98,0.99,0.99,0.82,0.42,0.29,29.6,46.3,-0.26,-0.41,45.6
100182,1,2,2,1114,8944493,8029.167864,0.13,0.41,0.98,1,0.94,0.6,0.42,0.33,29.1,44.8,-0.13,-0.02,48.1
100183,1,2,3,1432,11603245,8102.824721,0.13,0.45,0.94,0.94,0.96,0.83,0.47,0.57,27.9,45.3,0.12,-0.3,41.6
100193,3,2,2,624,4111853,6589.508013,0.09,0.27,1,1,1,0.95,0.86,0.27,29.9,60.2,0.81,0.86,59.3
100279,1,2,3,1630,12723343,7805.731902,0.29,0.31,0.99,0.99,0.99,0.83,0.63,0.22,30.1,50.2,0.06,0.18,53.3
100282,3,2,2,744,6145863,8260.568548,0.03,0.52,1,1,0.87,0.8,0.88,0.63,28.2,51.1,0.49,0.27,47.1
100277,1,2,3,933,8209453,8798.984995,0.15,0.61,0.96,0.97,0.89,0.7,0.4,0.32,28.2,45,-0.06,-0.15,43.1
133599,5,2,2,314,2862719,9116.93949,0.1,0.02,0.99,0.97,0.15,0.97,0.9,0.04,28,56.9,0.74,1.09,55.9
100284,2,2,3,837,7193090,8593.894863,0.25,0.78,1,1,0.74,0.79,0.73,0.59,27.9,43.2,0.17,-0.1,43.1
100285,3,2,3,993,8527638,8587.752266,0.16,0.65,1,1,1,0.89,0.48,0.64,28.4,48.4,0.62,0.38,48.8
100453,1,2,3,631,7073487,11209.96355,0.08,0.77,0.96,0.97,0.96,0.83,0.19,0.24,27.9,38.4,-0.32,-1.01,32.8
100455,1,2,2,773,6663032,8619.705045,0.1,0.6,1,0.99,0.94,0.87,0.67,0.56,29.1,49.1,0.47,0.82,57.4
100457,1,2,2,894,7921883,8861.166667,0.15,0.64,0.97,0.98,0.97,0.72,0.05,0.73,28.4,51.2,0.54,0.34,48.2
131690,1,2,3,647,5820483,8996.109737,0.17,0.6,0.95,0.96,0.92,0.55,0.57,0.36,27.6,42.1,-0.09,-0.4,38.4
100458,1,2,1,978,7641469,7813.362986,0.17,0.65,1,1,1,0.89,0.52,0.53,29.9,56.3,0.77,0.48,56.6
100459,3,2,1,969,7703837,7950.296182,0.1,0.48,0.99,0.99,0.99,0.94,0.74,0.69,28.7,45,-0.12,0.33,50.4
100502,3,2,3,617,4892159,7928.944895,0.1,0.37,1,1,1,0.41,1,0.67,28.7,50.6,0.13,0.16,48.4
100503,3,2,3,466,3638152,7807.193133,0.14,0.53,0.97,0.97,0.96,0.86,0.43,0.39,28.3,47,0.11,0.3,49.6
100624,1,2,3,933,7638576,8187.11254,0.26,0.43,0.98,0.99,0.99,0.48,0.69,0.4,28.4,46.7,0.25,0.33,49.5
100638,3,2,3,1235,8895961,7203.207287,0.11,0.23,1,1,1,0.85,0.69,0.44,29.8,54.7,0.48,0.53,56.1
100642,1,2,1,629,5875994,9341.802862,0.17,0.44,0.99,0.99,0.99,0.83,0.26,0.51,29.2,40.8,-0.69,-0.58,42.1
